GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
JUN	472	1.8170135852374063E-4	Genetic interactions	Lin-Smith-2010
JUN	5290	4.2390288954817853E-4	Genetic interactions	Lin-Smith-2010
JUN	5728	2.970129990257721E-4	Genetic interactions	Lin-Smith-2010
JUN	6794	3.419257984680377E-4	Genetic interactions	Lin-Smith-2010
JUN	CDKN1A	2.4038934668917447E-4	Genetic interactions	Lin-Smith-2010
JUN	MDC1	4.509726660499734E-4	Genetic interactions	Lin-Smith-2010
JUN	PIK3R1	1.3823471333321305E-4	Genetic interactions	Lin-Smith-2010
JUN	RAD52	1.954728221692812E-4	Genetic interactions	Lin-Smith-2010
JUN	RELA	3.7662100666531906E-4	Genetic interactions	Lin-Smith-2010
KAT2B	5728	7.922197751534306E-4	Genetic interactions	Lin-Smith-2010
KAT2B	8202	6.034402911405105E-4	Genetic interactions	Lin-Smith-2010
KAT2B	FANCA	0.001082690318149405	Genetic interactions	Lin-Smith-2010
KDM1A	367	4.3265062449882063E-4	Genetic interactions	Lin-Smith-2010
KDM1A	472	1.9968061051992976E-4	Genetic interactions	Lin-Smith-2010
KDM1A	5728	3.2640227917389564E-4	Genetic interactions	Lin-Smith-2010
KDM1A	8202	2.486233011321582E-4	Genetic interactions	Lin-Smith-2010
KDM1A	841	2.5738891975194187E-4	Genetic interactions	Lin-Smith-2010
KDM1A	CDKN1A	2.641757639498141E-4	Genetic interactions	Lin-Smith-2010
KDM1A	FANCC	2.1001702514817765E-4	Genetic interactions	Lin-Smith-2010
KDM1A	FAS	2.3166983002569381E-4	Genetic interactions	Lin-Smith-2010
KDM1A	HSPA9	3.125919989008637E-4	Genetic interactions	Lin-Smith-2010
KDM1A	NFKB1	3.5783830816931263E-4	Genetic interactions	Lin-Smith-2010
KDM1A	PCNA	3.393401001151329E-4	Genetic interactions	Lin-Smith-2010
KDM1A	RAD51B	1.6473163552992737E-4	Genetic interactions	Lin-Smith-2010
KDM1A	RELA	4.1388744145374833E-4	Genetic interactions	Lin-Smith-2010
KDM1A	RPA1	3.9207289238702895E-4	Genetic interactions	Lin-Smith-2010
KDM1A	RPA3	1.961466656364169E-4	Genetic interactions	Lin-Smith-2010
KDM1A	UBE2L3	4.92649823506535E-4	Genetic interactions	Lin-Smith-2010
LIG4	6794	0.0011097136795246538	Genetic interactions	Lin-Smith-2010
LIG4	JUN	4.231861582403919E-4	Genetic interactions	Lin-Smith-2010
LIG4	RBBP8	7.164609924189064E-4	Genetic interactions	Lin-Smith-2010
LIG4	SESN1	0.0013509308505446687	Genetic interactions	Lin-Smith-2010
MDM2	8202	3.6689499380602666E-4	Genetic interactions	Lin-Smith-2010
MDM2	CHEK1	3.4421395212477464E-4	Genetic interactions	Lin-Smith-2010
MDM4	5888	0.0011732621852404339	Genetic interactions	Lin-Smith-2010
MDM4	ABL1	2.0357069590034595E-4	Genetic interactions	Lin-Smith-2010
MDM4	CDC25A	3.8252719965714473E-4	Genetic interactions	Lin-Smith-2010
MDM4	FAS	2.42452182597373E-4	Genetic interactions	Lin-Smith-2010
MDM4	HSPA9	3.2714060274580695E-4	Genetic interactions	Lin-Smith-2010
MDM4	JUN	1.4996389492808447E-4	Genetic interactions	Lin-Smith-2010
MDM4	PCNA	3.551336380893449E-4	Genetic interactions	Lin-Smith-2010
MDM4	PIK3R1	1.5898328034058914E-4	Genetic interactions	Lin-Smith-2010
MTOR	841	4.2612072824403283E-4	Genetic interactions	Lin-Smith-2010
MTOR	9821	4.0384611560765715E-4	Genetic interactions	Lin-Smith-2010
MTOR	MDM4	2.7283948686210216E-4	Genetic interactions	Lin-Smith-2010
MTOR	PML	4.6283657677992547E-4	Genetic interactions	Lin-Smith-2010
MTOR	SESN3	2.8582685463231575E-4	Genetic interactions	Lin-Smith-2010
MTOR	ZMAT3	3.934705217337417E-4	Genetic interactions	Lin-Smith-2010
MYC	11200	6.308260729001676E-4	Genetic interactions	Lin-Smith-2010
MYC	672	9.464709542259602E-4	Genetic interactions	Lin-Smith-2010
MYC	FANCD2	9.562768090145812E-4	Genetic interactions	Lin-Smith-2010
MYC	PIK3R1	3.983655374587545E-4	Genetic interactions	Lin-Smith-2010
MYC	PML	7.331144629151918E-4	Genetic interactions	Lin-Smith-2010
NCOA4	ATR	8.654095729364412E-4	Genetic interactions	Lin-Smith-2010
NCOA4	CCNG1	9.429847430805431E-4	Genetic interactions	Lin-Smith-2010
NCOA4	JUN	3.7478025790736236E-4	Genetic interactions	Lin-Smith-2010
NCOA4	MDM2	6.077912477401572E-4	Genetic interactions	Lin-Smith-2010
NCOA4	SESN2	8.443552363933566E-4	Genetic interactions	Lin-Smith-2010
NCOA4	WEE1	0.0011395644077845607	Genetic interactions	Lin-Smith-2010
NCOA4	YWHAQ	0.0010279753230655684	Genetic interactions	Lin-Smith-2010
NFKB1	11200	5.466403734050197E-4	Genetic interactions	Lin-Smith-2010
NFKB1	5728	7.417066676335583E-4	Genetic interactions	Lin-Smith-2010
NFKB1	9821	5.543091544551994E-4	Genetic interactions	Lin-Smith-2010
NFKB1	ATR	7.518895134642105E-4	Genetic interactions	Lin-Smith-2010
NFKB1	RBBP8	5.51277369815064E-4	Genetic interactions	Lin-Smith-2010
PCNA	ABL1	4.1916600831325184E-4	Genetic interactions	Lin-Smith-2010
PCNA	CHEK1	5.026386356476633E-4	Genetic interactions	Lin-Smith-2010
PCNA	EWSR1	0.0012587009612911692	Genetic interactions	Lin-Smith-2010
PCNA	PIK3R1	3.2735744841513913E-4	Genetic interactions	Lin-Smith-2010
PCNA	RAD52	4.629045841705962E-4	Genetic interactions	Lin-Smith-2010
PCNA	RPA3	4.2267667970291415E-4	Genetic interactions	Lin-Smith-2010
PDGFRB	580	6.223222151556246E-4	Genetic interactions	Lin-Smith-2010
PDGFRB	KDM1A	4.7041526369597853E-4	Genetic interactions	Lin-Smith-2010
PDGFRB	RAD9A	0.0033431080358296635	Genetic interactions	Lin-Smith-2010
PDGFRB	TP53BP1	7.71571636898201E-4	Genetic interactions	Lin-Smith-2010
PDGFRB	XRCC5	5.775719675521361E-4	Genetic interactions	Lin-Smith-2010
PERP	5728	5.785899356684295E-4	Genetic interactions	Lin-Smith-2010
PERP	8202	4.407167032088956E-4	Genetic interactions	Lin-Smith-2010
PERP	841	4.56254892056527E-4	Genetic interactions	Lin-Smith-2010
PERP	ABL1	3.448072613915184E-4	Genetic interactions	Lin-Smith-2010
PERP	CCNB1	0.00437241805750574	Genetic interactions	Lin-Smith-2010
PERP	FANCD2	6.464194456411499E-4	Genetic interactions	Lin-Smith-2010
PERP	JUN	2.5400824697842595E-4	Genetic interactions	Lin-Smith-2010
PERP	TP53BP1	4.5784701660680615E-4	Genetic interactions	Lin-Smith-2010
PIDD	8202	0.0019863096276115724	Genetic interactions	Lin-Smith-2010
PIDD	BID	0.004789829554256379	Genetic interactions	Lin-Smith-2010
PIK3CG	FANCE	0.0014806230213670023	Genetic interactions	Lin-Smith-2010
PIK3CG	RPA3	5.773085089645255E-4	Genetic interactions	Lin-Smith-2010
PIK3CG	XRCC5	5.690619782638874E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	11200	2.320650508723985E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	367	4.1737299329339074E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	8202	2.398439854349031E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	841	2.483000764760619E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	8493	9.322366744091535E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	ABL1	1.8764875812649138E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	ATR	3.191994295147681E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	CDKN1A	2.5484726302479383E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	CHEK1	2.2501712158770493E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	RAD52	2.0722929902322935E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	RBBP8	2.3403360605480048E-4	Genetic interactions	Lin-Smith-2010
PIK3R1	TREX1	5.583088988686093E-4	Genetic interactions	Lin-Smith-2010
PIK3R3	472	3.3118270755524797E-4	Genetic interactions	Lin-Smith-2010
PLAGL1	672	0.001066717317143292	Genetic interactions	Lin-Smith-2010
PLAGL1	BAX	7.75838597942138E-4	Genetic interactions	Lin-Smith-2010
PLAGL1	CDK6	0.0012432100446675913	Genetic interactions	Lin-Smith-2010
PLAGL1	RAD52	6.348820560961681E-4	Genetic interactions	Lin-Smith-2010
PLAGL1	XRCC2	0.0010508294984432835	Genetic interactions	Lin-Smith-2010
PLK1	6794	0.0015428339275268654	Genetic interactions	Lin-Smith-2010
PLK1	MDM2	9.541515368495089E-4	Genetic interactions	Lin-Smith-2010
PMAIP1	841	7.049088344245691E-4	Genetic interactions	Lin-Smith-2010
PMAIP1	CCNG1	9.874182601898168E-4	Genetic interactions	Lin-Smith-2010
PMAIP1	CDKN2D	0.0020209752659448538	Genetic interactions	Lin-Smith-2010
PMAIP1	CREBBP	0.0016734798500830266	Genetic interactions	Lin-Smith-2010
PMAIP1	FANCF	7.730178900458054E-4	Genetic interactions	Lin-Smith-2010
PMAIP1	STEAP3	7.711661638466982E-4	Genetic interactions	Lin-Smith-2010
PML	ATR	5.874246330507679E-4	Genetic interactions	Lin-Smith-2010
PML	CCNG1	6.400812095750969E-4	Genetic interactions	Lin-Smith-2010
PML	EI24	0.0017124763361898233	Genetic interactions	Lin-Smith-2010
PML	EWSR1	0.001036984406825342	Genetic interactions	Lin-Smith-2010
PML	PERP	4.955672185947424E-4	Genetic interactions	Lin-Smith-2010
PML	RAD51B	2.924516249880975E-4	Genetic interactions	Lin-Smith-2010
PML	RELA	7.347833636229466E-4	Genetic interactions	Lin-Smith-2010
PML	TOPBP1	9.226238643513946E-4	Genetic interactions	Lin-Smith-2010
PML	TP73	4.904875972527853E-4	Genetic interactions	Lin-Smith-2010
PML	XRCC5	3.4324922294979654E-4	Genetic interactions	Lin-Smith-2010
POLQ	472	2.7395377955209395E-4	Genetic interactions	Lin-Smith-2010
POLQ	BAX	3.6015032869509734E-4	Genetic interactions	Lin-Smith-2010
POLQ	CASP3	5.598705964573814E-4	Genetic interactions	Lin-Smith-2010
POLQ	CDK6	5.771078162866759E-4	Genetic interactions	Lin-Smith-2010
POLQ	CENPC	4.2447328793924794E-4	Genetic interactions	Lin-Smith-2010
POLQ	FANCC	2.881349193234517E-4	Genetic interactions	Lin-Smith-2010
POLQ	GADD45G	6.813820352954019E-4	Genetic interactions	Lin-Smith-2010
POLQ	IGF1	5.466358571604623E-4	Genetic interactions	Lin-Smith-2010
POLQ	MTOR	3.57677833143726E-4	Genetic interactions	Lin-Smith-2010
POLQ	NFKBIA	0.0012983928831292266	Genetic interactions	Lin-Smith-2010
POLQ	RPRM	2.499552965889895E-4	Genetic interactions	Lin-Smith-2010
POLQ	RPS6KA1	4.5506121895124915E-4	Genetic interactions	Lin-Smith-2010
POLQ	SESN2	4.4291459790506225E-4	Genetic interactions	Lin-Smith-2010
POLQ	STEAP3	3.863191638556261E-4	Genetic interactions	Lin-Smith-2010
POLQ	TGFB2	2.5281961756232527E-4	Genetic interactions	Lin-Smith-2010
POLQ	TP53BP1	3.5435951421386187E-4	Genetic interactions	Lin-Smith-2010
POLQ	XRCC2	4.8780326675597016E-4	Genetic interactions	Lin-Smith-2010
POLQ	YWHAH	5.84581245035782E-4	Genetic interactions	Lin-Smith-2010
POU2F1	11200	7.464422632222242E-4	Genetic interactions	Lin-Smith-2010
POU2F1	KDM1A	4.886313548091207E-4	Genetic interactions	Lin-Smith-2010
POU2F1	PIK3R1	4.713769600643926E-4	Genetic interactions	Lin-Smith-2010
POU2F1	RBBP8	7.52774169952839E-4	Genetic interactions	Lin-Smith-2010
POU2F1	TP53BP1	8.014495944866075E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	5290	5.345988456993361E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	8202	2.85315727830401E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	APAF1	3.4315477739755624E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	ATAD2	5.193062152875294E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	BAX	3.0124950014291327E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	BID	6.880164315154957E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	CCNE1	8.038237545816673E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	CDC25A	4.1945906973015097E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	CDKN1A	3.0316346480716163E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	DDB2	4.254564447106317E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	FAS	2.6586024075649854E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	JUN	1.6444246401709948E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	KDM1A	1.807139821953981E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	MDM2	2.666807632758832E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	PML	3.2082544238187197E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	RAD51B	1.890431403922632E-4	Genetic interactions	Lin-Smith-2010
PPP2CA	RPRM	2.090763111860467E-4	Genetic interactions	Lin-Smith-2010
PTK2B	841	4.4863180089654104E-4	Genetic interactions	Lin-Smith-2010
PTK2B	FANCF	4.919790787765409E-4	Genetic interactions	Lin-Smith-2010
PTK2B	JUN	2.497642792233851E-4	Genetic interactions	Lin-Smith-2010
PTK2B	KDM1A	2.744783561918147E-4	Genetic interactions	Lin-Smith-2010
PTK2B	PALB2	9.035124359960721E-4	Genetic interactions	Lin-Smith-2010
PTK2B	PIK3R1	2.6478605034025896E-4	Genetic interactions	Lin-Smith-2010
PTK2B	RAD51B	2.8712911539870346E-4	Genetic interactions	Lin-Smith-2010
PTK2B	RPA2	6.924032543492917E-4	Genetic interactions	Lin-Smith-2010
PTK2B	RPA3	3.418858775033735E-4	Genetic interactions	Lin-Smith-2010
PTK2B	TOPBP1	9.058324011564432E-4	Genetic interactions	Lin-Smith-2010
PTK2B	TP53BP1	4.5019732245880694E-4	Genetic interactions	Lin-Smith-2010
RAD51B	367	4.5259162434528686E-4	Genetic interactions	Lin-Smith-2010
RAD51B	5728	3.41446252412736E-4	Genetic interactions	Lin-Smith-2010
RAD51B	5888	0.0011727559702665415	Genetic interactions	Lin-Smith-2010
RAD51B	841	2.692520393149642E-4	Genetic interactions	Lin-Smith-2010
RAD51B	ABL1	2.0348285988849803E-4	Genetic interactions	Lin-Smith-2010
RAD51B	CCNE1	7.327336478996665E-4	Genetic interactions	Lin-Smith-2010
RAD51B	FANCA	4.666388920790712E-4	Genetic interactions	Lin-Smith-2010
RAD51B	FANCC	2.1969677122472337E-4	Genetic interactions	Lin-Smith-2010
RAD51B	FANCF	2.952674869869854E-4	Genetic interactions	Lin-Smith-2010
RAD51B	FAS	2.4234755077091202E-4	Genetic interactions	Lin-Smith-2010
RAD51B	HSPA9	3.2699944537942195E-4	Genetic interactions	Lin-Smith-2010
RAD51B	MAPK8	3.548905850154644E-4	Genetic interactions	Lin-Smith-2010
RAD51B	MDM2	2.430955166897798E-4	Genetic interactions	Lin-Smith-2010
RAD51B	RAD17	0.0014333045140483525	Genetic interactions	Lin-Smith-2010
RAD51B	RBBP8	2.5378174247949294E-4	Genetic interactions	Lin-Smith-2010
RAD51B	TP73	2.8901486177579036E-4	Genetic interactions	Lin-Smith-2010
RAD52	11200	3.2815497764562764E-4	Genetic interactions	Lin-Smith-2010
RAD52	5290	6.354778707248561E-4	Genetic interactions	Lin-Smith-2010
RAD52	5888	0.0015293073465287303	Genetic interactions	Lin-Smith-2010
RAD52	8202	3.3915490112299126E-4	Genetic interactions	Lin-Smith-2010
RBBP8	580	3.2094088682303967E-4	Genetic interactions	Lin-Smith-2010
RBBP8	9821	3.75799709461649E-4	Genetic interactions	Lin-Smith-2010
RBBP8	FANCF	4.348402778728023E-4	Genetic interactions	Lin-Smith-2010
RBBP8	MDM2	3.5800666189890815E-4	Genetic interactions	Lin-Smith-2010
RBBP8	RAD1	7.542628164617631E-4	Genetic interactions	Lin-Smith-2010
RCHY1	841	8.140565757900494E-4	Genetic interactions	Lin-Smith-2010
RCHY1	PIK3R3	8.260462490965449E-4	Genetic interactions	Lin-Smith-2010
RCHY1	XRCC5	6.115011613349645E-4	Genetic interactions	Lin-Smith-2010
RELA	CHEK1	6.130599579783274E-4	Genetic interactions	Lin-Smith-2010
RFWD2	8202	8.558251130269986E-4	Genetic interactions	Lin-Smith-2010
RFWD2	JUN	4.932570770904158E-4	Genetic interactions	Lin-Smith-2010
RNF14	841	0.0010316953240387303	Genetic interactions	Lin-Smith-2010
RNF14	CDK6	0.0016860760187717618	Genetic interactions	Lin-Smith-2010
RNF14	RAD51B	6.602959861445494E-4	Genetic interactions	Lin-Smith-2010
RNF14	RPA3	7.862172575879064E-4	Genetic interactions	Lin-Smith-2010
RNF14	TREX1	0.002319792422258081	Genetic interactions	Lin-Smith-2010
RNF8	5290	0.001293538546570519	Genetic interactions	Lin-Smith-2010
RNF8	CASP3	0.001133134594146388	Genetic interactions	Lin-Smith-2010
RNF8	CCNE2	0.0033484138649829552	Genetic interactions	Lin-Smith-2010
RNF8	FOXO1	7.907189314876727E-4	Genetic interactions	Lin-Smith-2010
RNF8	KDM1A	4.372633254910635E-4	Genetic interactions	Lin-Smith-2010
RNF8	PLK1	0.001795364521920162	Genetic interactions	Lin-Smith-2010
RNF8	STEAP3	7.818799486177981E-4	Genetic interactions	Lin-Smith-2010
RNF8	TP53BP1	7.171961183578099E-4	Genetic interactions	Lin-Smith-2010
RNF8	XRCC5	5.368682750720687E-4	Genetic interactions	Lin-Smith-2010
RPA1	9821	6.073402166596155E-4	Genetic interactions	Lin-Smith-2010
RPA1	FANCF	7.027573878202373E-4	Genetic interactions	Lin-Smith-2010
RPA1	GADD45A	0.0030550781768814267	Genetic interactions	Lin-Smith-2010
RPA1	RAD1	0.0012189849088617543	Genetic interactions	Lin-Smith-2010
RPA2	580	5.255242269455474E-4	Genetic interactions	Lin-Smith-2010
RPA3	367	5.389027937972395E-4	Genetic interactions	Lin-Smith-2010
RPA3	5290	5.802528366936335E-4	Genetic interactions	Lin-Smith-2010
RPA3	580	2.5948653403976116E-4	Genetic interactions	Lin-Smith-2010
RPA3	841	3.20599564223425E-4	Genetic interactions	Lin-Smith-2010
RPA3	FANCC	2.615938895704032E-4	Genetic interactions	Lin-Smith-2010
RPA3	RAD9A	0.001393958727742066	Genetic interactions	Lin-Smith-2010
RPRM	472	2.310196886011622E-4	Genetic interactions	Lin-Smith-2010
RPRM	580	2.4102096162143417E-4	Genetic interactions	Lin-Smith-2010
RPRM	672	4.175740156241277E-4	Genetic interactions	Lin-Smith-2010
RPRM	675	5.502377764693572E-4	Genetic interactions	Lin-Smith-2010
RPRM	BCL2L1	0.00295127048263895	Genetic interactions	Lin-Smith-2010
RPRM	CCNG1	4.171297424277778E-4	Genetic interactions	Lin-Smith-2010
RPRM	EWSR1	6.757845951979157E-4	Genetic interactions	Lin-Smith-2010
RPRM	HUS1	5.35804584100293E-4	Genetic interactions	Lin-Smith-2010
RPRM	JUN	1.6578421719939775E-4	Genetic interactions	Lin-Smith-2010
RPRM	MDM4	1.906678840957506E-4	Genetic interactions	Lin-Smith-2010
RPRM	PERP	3.229524946725362E-4	Genetic interactions	Lin-Smith-2010
RPRM	PIK3R1	1.7575511270609577E-4	Genetic interactions	Lin-Smith-2010
RPRM	RPA3	2.2693111921724202E-4	Genetic interactions	Lin-Smith-2010
RPRM	SESN1	5.29230448428016E-4	Genetic interactions	Lin-Smith-2010
RPRM	TOPBP1	6.012577912341854E-4	Genetic interactions	Lin-Smith-2010
RPRM	TP73	3.19642186307836E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	580	4.387956180422794E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	CCNG1	7.594139724802862E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	CDKN1A	5.564338332450742E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	EWSR1	0.0012303134962678565	Genetic interactions	Lin-Smith-2010
RPS6KA1	FANCF	5.94520741104955E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	FAS	4.879665767963885E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	MAPK8	7.145718176517906E-4	Genetic interactions	Lin-Smith-2010
RPS6KA1	TREX1	0.0012190122041208311	Genetic interactions	Lin-Smith-2010
RPS6KA1	WEE1	9.177254861669303E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	APAF1	5.368080804548293E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	CASP9	0.001680647954327822	Genetic interactions	Lin-Smith-2010
RPS6KB1	KDM1A	2.8269666860529134E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	PIK3R1	2.7271418579960115E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	POLQ	3.878484895308554E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	POU2F1	8.771911034098317E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	SIAH1	4.692487539886224E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	STRADB	4.3773960798278E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	UBE2L3	8.844049634753984E-4	Genetic interactions	Lin-Smith-2010
RPS6KB1	XRCC5	3.470926459640011E-4	Genetic interactions	Lin-Smith-2010
RRM2	CDKN1A	7.939914616314769E-4	Genetic interactions	Lin-Smith-2010
RRM2	LIG4	0.0013977583069222463	Genetic interactions	Lin-Smith-2010
RRM2B	5728	4.64574737559323E-4	Genetic interactions	Lin-Smith-2010
RRM2B	BRIP1	5.444819711247637E-4	Genetic interactions	Lin-Smith-2010
RRM2B	CDK6	5.987119479153674E-4	Genetic interactions	Lin-Smith-2010
RRM2B	FANCC	2.9892132662564586E-4	Genetic interactions	Lin-Smith-2010
RRM2B	FOXA1	4.665874991939255E-4	Genetic interactions	Lin-Smith-2010
RRM2B	KDM1A	2.2413528363126372E-4	Genetic interactions	Lin-Smith-2010
RRM2B	MAPK8	4.8286720924647594E-4	Genetic interactions	Lin-Smith-2010
RRM2B	PALB2	7.377960613609015E-4	Genetic interactions	Lin-Smith-2010
RRM2B	PIK3R1	2.162206969055937E-4	Genetic interactions	Lin-Smith-2010
RRM2B	RELA	5.890941271337199E-4	Genetic interactions	Lin-Smith-2010
RRM2B	TP53BP1	3.6762504309046425E-4	Genetic interactions	Lin-Smith-2010
RRM2B	XRCC5	2.7519144483519547E-4	Genetic interactions	Lin-Smith-2010
SERPINB5	367	0.0012628465441419654	Genetic interactions	Lin-Smith-2010
SERPINB5	8202	7.256966136429015E-4	Genetic interactions	Lin-Smith-2010
SERPINB5	841	7.512821609844636E-4	Genetic interactions	Lin-Smith-2010
SERPINB5	CCNG2	6.954917063207712E-4	Genetic interactions	Lin-Smith-2010
SERPINB5	CREBBP	0.0017835720469709098	Genetic interactions	Lin-Smith-2010
SERPINB5	RAD51B	4.8082856986021266E-4	Genetic interactions	Lin-Smith-2010
SERPINB5	SESN3	5.039338088769718E-4	Genetic interactions	Lin-Smith-2010
SERPINE1	CENPC	0.0011094797578357542	Genetic interactions	Lin-Smith-2010
SERPINE1	TNFAIP3	9.716742360792925E-4	Genetic interactions	Lin-Smith-2010
SESN1	9821	7.085932328858917E-4	Genetic interactions	Lin-Smith-2010
SESN1	FANCF	8.199178700586112E-4	Genetic interactions	Lin-Smith-2010
SESN1	KDM1A	4.5743748882478826E-4	Genetic interactions	Lin-Smith-2010
SESN2	580	4.2708314984879914E-4	Genetic interactions	Lin-Smith-2010
SESN2	8202	5.096975588561517E-4	Genetic interactions	Lin-Smith-2010
SESN2	CCNG2	4.88482945079213E-4	Genetic interactions	Lin-Smith-2010
SESN2	CDC25B	0.0013244644706879721	Genetic interactions	Lin-Smith-2010
SESN2	FANCF	5.786516466889509E-4	Genetic interactions	Lin-Smith-2010
SESN2	MAPK8	6.954982334479418E-4	Genetic interactions	Lin-Smith-2010
SESN2	PIK3R1	3.114336975504039E-4	Genetic interactions	Lin-Smith-2010
SESN2	RAD52	4.4038737997438235E-4	Genetic interactions	Lin-Smith-2010
SESN3	CDKN1A	2.896311808140747E-4	Genetic interactions	Lin-Smith-2010
SESN3	FANCC	2.3025382253050853E-4	Genetic interactions	Lin-Smith-2010
SESN3	FANCG	8.099990102601893E-4	Genetic interactions	Lin-Smith-2010
SESN3	FOXA1	3.594041264191771E-4	Genetic interactions	Lin-Smith-2010
SESN3	JUN	1.5710228096508082E-4	Genetic interactions	Lin-Smith-2010
SESN3	MDM2	2.5477696454655565E-4	Genetic interactions	Lin-Smith-2010
SESN3	PERP	3.0603978514559885E-4	Genetic interactions	Lin-Smith-2010
SESN3	POU2F1	5.357149185149199E-4	Genetic interactions	Lin-Smith-2010
SESN3	RPA3	2.1504696780000354E-4	Genetic interactions	Lin-Smith-2010
